date,open,high,low,close,volume
2019-10-10,11.62,11.62,11.42,11.56,246826200
2019-10-11,11.52,11.54,11.48,11.54,29707700
2019-10-14,11.56,11.72,11.54,11.56,17184800
2019-10-15,11.56,11.56,11.48,11.5,19075200
2019-10-16,11.5,11.56,11.46,11.56,15868000
2019-10-17,11.54,11.56,11.48,11.5,15173100
2019-10-18,11.5,11.58,11.48,11.58,12976600
2019-10-21,11.52,11.58,11.52,11.58,5720000
2019-10-22,11.54,11.58,11.52,11.56,6708600
2019-10-23,11.56,11.56,11.52,11.56,5819300
2019-10-24,11.54,11.58,11.5,11.5,16569900
2019-10-25,11.52,11.52,11.48,11.5,5806300
2019-10-28,11.5,11.52,11.46,11.5,15461100
2019-10-29,11.5,11.5,11.46,11.5,15895200
2019-10-30,11.5,11.5,11.48,11.5,12845700
2019-10-31,11.5,11.5,11.48,11.48,12035300
2019-11-04,11.5,11.5,11.46,11.48,11230900
2019-11-05,11.48,11.48,11.38,11.48,26908300
2019-11-06,11.48,11.48,11.4,11.42,11534200
2019-11-07,11.42,11.44,11.3,11.38,12846400
2019-11-08,11.4,11.42,11.3,11.38,9607800
2019-11-11,11.38,11.38,11.2,11.3,6926000
2019-11-12,11.34,11.36,11.2,11.36,9189100
2019-11-13,11.34,11.34,11.24,11.34,5357300
2019-11-14,11.3,11.38,11.3,11.38,5334100
2019-11-15,11.36,11.48,11.36,11.48,32318500
2019-11-18,11.48,11.54,11.46,11.52,8934900
2019-11-19,11.54,11.6,11.5,11.6,8249900
2019-11-20,11.6,11.82,11.6,11.66,15920900
2019-11-21,11.64,11.64,11.46,11.5,7912700
2019-11-22,11.5,11.56,11.48,11.56,5846900
2019-11-25,11.56,11.56,11.5,11.54,2736100
2019-11-26,11.56,11.56,11.46,11.5,2820100
2019-11-27,11.5,11.54,11.46,11.54,2060100
2019-11-28,11.5,11.52,11.44,11.52,1487400
2019-11-29,11.52,11.52,11.4,11.52,3450300
2019-12-02,11.5,11.5,11.4,11.48,3195600
2019-12-03,11.48,11.5,11.42,11.5,3607800
2019-12-04,11.5,11.5,11.46,11.5,5498300
2019-12-05,11.46,11.52,11.46,11.52,4354700
2019-12-06,11.52,11.52,11.48,11.52,2571400
2019-12-09,11.46,11.5,11.46,11.5,2861300
2019-12-10,11.5,11.5,11.44,11.5,2732500
2019-12-11,11.44,11.5,11.44,11.48,3368600
2019-12-12,11.46,11.5,11.44,11.5,2305700
2019-12-13,11.46,11.5,11.46,11.48,1894500
2019-12-16,11.46,11.48,11.42,11.48,2441900
2019-12-17,11.48,11.48,11.4,11.48,2389400
2019-12-18,11.42,11.48,11.4,11.48,1864300
2019-12-19,11.5,11.5,11.42,11.48,1773600
2019-12-20,11.48,11.48,11.42,11.48,792300
2019-12-23,11.46,11.5,11.42,11.5,1535700
2019-12-26,11.46,11.62,11.44,11.58,2976800
2019-12-27,11.56,11.64,11.52,11.64,2868200
2020-01-02,11.64,11.64,11.52,11.64,855200
2020-01-03,11.58,11.64,11.5,11.62,705800
2020-01-06,11.6,11.6,11.54,11.58,865600
2020-01-07,11.56,11.6,11.48,11.58,1095100
2020-01-08,11.5,11.58,11.48,11.56,1332500
2020-01-09,11.5,11.58,11.5,11.58,610600
2020-01-10,11.58,11.6,11.5,11.52,1331900
2020-01-14,11.56,11.56,11.48,11.54,1309900
2020-01-15,11.52,11.54,11.48,11.5,1018000
2020-01-16,11.48,11.48,11.42,11.44,687200
2020-01-17,11.5,11.5,11.4,11.42,1408300
2020-01-20,11.44,11.44,11.3,11.34,1181100
2020-01-21,11.34,11.34,11.2,11.28,1247700
2020-01-22,11.3,11.3,11.22,11.28,4047400
2020-01-23,11.4,11.48,11.32,11.38,475400
2020-01-24,11.4,11.44,11.2,11.3,970300
2020-01-27,11.4,11.4,11.22,11.28,168500
2020-01-28,11.28,11.28,11.18,11.22,1045600
2020-01-29,11.18,11.2,11.04,11.08,1465400
2020-01-30,11.08,11.08,10.8,10.98,2010000
2020-01-31,10.9,10.9,10.2,10.2,2383500
2020-02-03,10.0,10.0,9.52,9.7,2070500
2020-02-04,9.87,9.9,9.78,9.9,1741900
2020-02-05,9.9,10.2,9.87,10.02,599900
2020-02-06,10.0,10.16,9.96,10.1,1953300
2020-02-07,10.1,10.1,9.8,10.02,1001200
2020-02-10,10.02,10.02,9.8,9.98,54500
2020-02-11,9.98,9.98,9.8,9.8,60200
2020-02-12,9.98,9.98,9.7,9.7,223300
2020-02-13,9.69,9.9,9.2,9.7,1754100
2020-02-14,9.69,10.0,9.29,10.0,2367600
2020-02-17,10.0,10.0,9.71,9.96,1868700
2020-02-18,9.71,10.78,9.71,10.78,3593200
2020-02-19,10.5,10.66,10.26,10.6,2225000
2020-02-20,10.5,10.6,10.4,10.5,2176500
2020-02-21,10.32,10.5,10.32,10.5,2229200
2020-02-24,10.4,10.4,10.24,10.36,1500800
2020-02-26,10.3,10.3,9.85,10.0,1756200
2020-02-27,10.0,10.1,9.8,9.8,562700
2020-02-28,9.8,9.8,9.31,9.5,1885100
2020-03-02,9.3,9.93,9.21,9.93,1487900
2020-03-03,9.6,10.0,9.6,10.0,694500
2020-03-04,9.8,9.98,9.71,9.98,927300
2020-03-05,9.98,9.98,9.82,9.98,962100
2020-03-06,9.98,9.98,9.82,9.98,787200
2020-03-09,9.6,9.8,9.02,9.8,1247100
2020-03-10,9.69,9.69,9.14,9.4,1420500
2020-03-11,9.35,9.5,9.35,9.47,309900
2020-03-12,9.37,9.37,8.12,8.25,850300
2020-03-13,8.19,8.19,7.03,7.49,1983200
2020-03-16,7.0,7.49,6.53,6.99,1596000
2020-03-19,6.6,6.6,5.03,5.5,1756700
2020-03-20,5.42,5.99,5.0,5.05,2097400
2020-03-23,5.04,5.16,4.5,4.5,704100
2020-03-24,4.5,4.8,4.5,4.5,826000
2020-03-25,4.79,4.79,4.51,4.51,1076000
2020-03-26,4.79,4.79,4.55,4.58,1189000
2020-03-27,4.68,4.85,4.25,4.6,3408000
