date,open,high,low,close,volume
2019-10-07,5.29,5.3,4.19,4.69,188153500
2019-10-08,4.5,4.78,4.24,4.7,58083000
2019-10-09,4.6,4.76,4.48,4.54,24625000
2019-10-10,4.51,4.52,4.34,4.51,19949000
2019-10-11,4.53,4.58,4.44,4.5,9932000
2019-10-14,4.5,4.57,4.43,4.47,10544000
2019-10-15,4.47,4.47,4.35,4.35,7394000
2019-10-16,4.35,4.41,4.3,4.34,5018000
2019-10-17,4.34,4.48,4.34,4.43,7897000
2019-10-18,4.47,4.49,4.4,4.4,3318000
2019-10-21,4.43,4.46,4.35,4.4,2549000
2019-10-22,4.4,4.47,4.37,4.37,1872000
2019-10-23,4.38,4.39,4.33,4.34,2569000
2019-10-24,4.34,4.34,4.25,4.25,5037000
2019-10-25,4.24,4.27,3.95,4.01,14273000
2019-10-28,4.01,4.04,3.7,3.72,11750000
2019-10-29,3.74,3.8,3.6,3.69,9673000
2019-10-30,3.69,3.91,3.68,3.81,8169000
2019-10-31,3.84,3.94,3.84,3.89,4205000
2019-11-04,3.89,4.03,3.78,3.99,6540000
2019-11-05,4.02,4.15,3.93,4.14,5163000
2019-11-06,4.15,4.16,4.04,4.07,4251000
2019-11-07,4.19,4.21,4.09,4.15,4608000
2019-11-08,4.15,4.15,4.07,4.09,1938000
2019-11-11,4.08,4.12,4.0,4.07,1973000
2019-11-12,4.12,4.12,4.03,4.04,2316000
2019-11-13,4.1,4.1,3.88,3.9,2980000
2019-11-14,3.9,3.91,3.8,3.82,2144000
2019-11-15,3.85,3.85,3.66,3.68,3207000
2019-11-18,3.69,3.8,3.69,3.77,6645000
2019-11-19,3.79,3.91,3.78,3.78,3871000
2019-11-20,3.78,3.78,3.61,3.74,4005000
2019-11-21,3.74,3.74,3.5,3.65,4270000
2019-11-22,3.71,3.73,3.61,3.62,2878000
2019-11-25,3.79,3.8,3.65,3.72,2823000
2019-11-26,3.73,3.73,3.66,3.67,771000
2019-11-27,3.67,3.68,3.55,3.68,1937000
2019-11-28,3.68,3.68,3.58,3.58,1109000
2019-11-29,3.58,3.58,3.3,3.35,8702000
2019-12-02,3.37,3.37,3.1,3.24,3064000
2019-12-03,3.24,3.3,3.12,3.27,1347000
2019-12-04,3.28,3.3,3.11,3.12,3399000
2019-12-05,3.11,3.2,3.0,3.03,3159000
2019-12-06,3.03,3.08,2.97,3.03,2137000
2019-12-09,3.01,3.05,2.85,2.85,3080000
2019-12-10,2.84,2.86,2.57,2.6,3764000
2019-12-11,2.6,2.77,2.6,2.74,4593000
2019-12-12,2.77,2.92,2.77,2.91,4412000
