date,open,high,low,close,volume
2000-01-13,28.0,28.0,27.0,27.0,1600
2000-01-14,29.0,30.0,29.0,30.0,1000
2000-01-17,29.5,29.5,29.5,29.5,500
2000-01-18,27.0,27.0,27.0,27.0,4200
2000-01-24,26.5,30.0,26.5,30.0,2200
2000-01-27,27.0,27.0,27.0,27.0,20200
2000-01-28,27.0,29.5,27.0,27.0,6300
2000-01-31,26.5,29.0,26.5,29.0,10300
2000-02-01,29.0,29.5,29.0,29.0,10000
2000-02-07,27.0,29.0,27.0,29.0,2600
2000-02-11,27.0,29.0,27.0,29.0,27900
2000-02-14,25.0,28.5,25.0,28.5,4000
2000-02-16,23.0,23.0,23.0,23.0,1000
2000-02-17,27.5,28.5,27.5,28.5,6000
2000-02-21,24.0,28.5,24.0,28.5,6000
2000-03-07,24.0,24.0,24.0,24.0,500
2000-03-08,28.0,28.0,28.0,28.0,5000
2000-03-16,29.0,29.0,29.0,29.0,5000
2000-03-17,28.0,28.0,28.0,28.0,5000
2000-03-21,24.5,24.5,24.5,24.5,2000
2000-03-23,25.0,25.0,25.0,25.0,200
2000-03-24,25.0,28.0,25.0,28.0,400
2000-03-28,25.0,25.0,24.75,24.75,4100
2000-03-29,24.75,27.0,24.75,27.0,1300
2000-03-30,27.0,27.0,27.0,27.0,32000
2000-04-03,27.0,29.0,27.0,29.0,25000
2000-04-06,29.0,29.0,29.0,29.0,20000
2000-04-07,29.0,30.0,29.0,29.0,39800
2000-04-11,30.0,30.0,29.0,29.0,48700
2000-04-12,29.0,29.0,29.0,29.0,26100
2000-04-13,29.0,29.0,29.0,29.0,1600
2000-04-14,26.0,29.0,26.0,29.0,3100
2000-04-24,28.5,30.0,28.5,30.0,23000
2000-04-25,29.0,29.0,29.0,29.0,6600
2000-04-26,29.0,30.0,29.0,29.0,29500
2000-04-27,29.0,30.0,29.0,30.0,64600
2000-04-28,29.0,29.5,29.0,29.5,21700
2000-05-02,29.0,29.0,29.0,29.0,12900
2000-05-03,29.0,29.0,29.0,29.0,16800
2000-05-04,29.0,29.0,29.0,29.0,40000
2000-05-08,29.0,29.0,29.0,29.0,19200
2000-05-09,30.0,30.0,29.0,29.0,141900
2000-05-12,28.5,30.0,28.5,30.0,56100
2000-05-15,30.0,30.0,30.0,30.0,20000
2000-05-23,30.0,30.0,29.0,29.0,12400
2000-05-24,29.0,29.5,29.0,29.5,9800
2000-05-25,30.0,30.0,30.0,30.0,7300
2000-06-01,28.0,30.0,28.0,30.0,39100
2000-06-02,30.0,31.0,30.0,31.0,2000
2000-06-05,30.0,30.0,30.0,30.0,10000
2000-06-06,30.0,30.0,30.0,30.0,28000
2000-06-07,30.5,35.0,30.0,35.0,1612300
2000-06-13,35.0,35.0,35.0,35.0,1200
2000-06-14,28.5,28.5,28.5,28.5,500
2000-06-19,29.0,29.0,29.0,29.0,50000
2000-06-20,30.0,30.0,30.0,30.0,10000
2000-06-21,28.5,30.0,28.5,30.0,35000
2000-06-22,30.0,30.0,30.0,30.0,11400
2000-06-27,28.0,28.0,28.0,28.0,500
2000-06-28,27.0,28.0,27.0,28.0,1300
2000-06-30,29.5,30.0,29.5,30.0,1000
2000-07-04,28.0,28.0,28.0,28.0,200
2000-07-06,30.0,30.0,29.5,29.5,12500
2000-07-07,30.0,30.0,30.0,30.0,10000
2000-07-10,30.0,30.0,30.0,30.0,10000
2000-07-11,30.0,30.0,30.0,30.0,10000
2000-07-12,30.0,30.0,30.0,30.0,10000
2000-07-13,30.0,30.0,28.0,30.0,12600
2000-07-14,30.0,30.0,30.0,30.0,10000
2000-07-19,30.0,30.0,30.0,30.0,10000
2000-07-20,29.5,30.0,28.0,29.5,12600
2000-07-21,28.0,30.0,28.0,30.0,5000
2000-07-24,30.0,30.0,30.0,30.0,8900
2000-07-26,28.0,30.0,28.0,30.0,2500
2000-07-28,28.0,30.0,28.0,30.0,3800
2000-08-02,28.0,30.0,28.0,30.0,1300
2000-08-04,29.0,29.0,29.0,29.0,5000
2000-08-07,28.0,28.0,28.0,28.0,100
2000-08-11,29.5,30.0,29.5,30.0,10800
2000-08-14,30.0,30.0,28.0,28.0,11000
2000-08-15,27.0,30.0,27.0,29.5,12400
2000-08-16,29.0,30.0,29.0,30.0,12500
2000-08-17,29.5,29.5,29.5,29.5,500
2000-08-18,30.0,30.0,30.0,30.0,10000
2000-08-21,30.0,30.0,30.0,30.0,4500
2000-08-24,28.0,28.0,28.0,28.0,200
2000-08-25,28.5,30.0,28.5,30.0,12200
2000-08-30,29.5,29.5,29.5,29.5,5100
2000-09-07,28.0,29.5,28.0,29.0,6100
2000-09-08,29.0,29.5,29.0,29.0,17300
2000-09-11,28.5,30.0,28.5,30.0,18000
2000-09-13,30.0,30.0,30.0,30.0,7300
2000-09-14,28.0,29.5,28.0,29.5,3100
2000-09-19,29.0,30.0,29.0,30.0,5100
2000-09-20,28.0,30.0,28.0,30.0,3000
2000-09-22,28.0,29.5,28.0,29.5,1100
2000-09-25,28.0,29.5,28.0,29.5,3600
2000-09-28,28.5,29.5,28.5,29.5,2200
2000-10-03,29.0,29.5,29.0,29.5,13600
2000-10-04,30.0,30.0,30.0,30.0,12500
2000-10-06,30.0,30.0,30.0,30.0,4400
2000-10-11,28.0,30.0,28.0,30.0,21300
2000-10-13,28.0,30.0,28.0,30.0,900
2000-10-17,28.0,30.0,28.0,30.0,5100
2000-10-19,28.0,29.0,28.0,29.0,5200
2000-10-20,29.5,30.0,29.5,30.0,16600
