date,open,high,low,close,volume
2018-04-30,1.02,1.03,1.02,1.03,120000
2018-05-02,1.02,1.02,1.02,1.02,4000
2018-05-08,1.03,1.03,1.03,1.03,48400
2018-05-16,1.03,1.03,1.03,1.03,51420
2018-05-18,1.03,1.03,1.03,1.03,17020
2018-05-22,1.02,1.02,1.02,1.02,15000
2018-05-25,1.02,1.02,1.02,1.02,2000
2018-05-30,1.02,1.02,1.02,1.02,25000
2018-06-08,1.02,1.02,1.02,1.02,100000
2018-07-09,1.02,1.02,1.02,1.02,2000
2018-07-10,1.02,1.02,1.02,1.02,50000
2018-07-18,1.02,1.02,1.02,1.02,11000
2018-07-20,1.01,1.01,1.01,1.01,12800
2018-07-24,1.01,1.01,1.01,1.01,4000
2018-07-26,1.01,1.01,1.01,1.01,33200
2018-07-30,1.01,1.01,1.01,1.01,6800
2018-07-31,1.01,1.02,1.01,1.02,19540
2018-08-06,1.02,1.02,1.0,1.0,24700
2018-08-07,1.0,1.0,1.0,1.0,189960
2018-08-15,1.01,1.01,1.01,1.01,1200
2018-08-16,1.01,1.01,1.01,1.01,25660
2018-08-23,1.0,1.0,1.0,1.0,1380
2018-08-24,1.04,1.04,1.04,1.04,140
2018-08-30,1.0,1.04,1.0,1.04,147920
2018-09-04,1.0,1.0,1.0,1.0,10000
2018-09-07,1.01,1.01,1.01,1.01,98000
2018-09-12,1.01,1.01,1.01,1.01,19700
2018-09-14,1.01,1.01,1.01,1.01,30000
2018-09-17,1.0,1.0,1.0,1.0,18380
2018-09-18,1.0,1.0,1.0,1.0,100
2018-09-20,0.8,0.8,0.8,0.8,10000
2018-09-24,0.99,1.0,0.99,1.0,95800
2018-10-03,1.0,1.0,1.0,1.0,4200
2018-10-19,1.01,1.01,1.01,1.01,1360
2018-10-31,1.01,1.01,1.01,1.01,4920
2018-11-05,1.0,1.0,1.0,1.0,10600
2018-11-06,1.0,1.0,1.0,1.0,20
2018-11-12,1.0,1.0,1.0,1.0,3960
2018-11-13,1.0,1.01,1.0,1.01,28260
2018-11-14,1.03,1.03,1.03,1.03,29040
2018-11-15,1.01,1.01,0.98,1.01,50000
2018-11-16,1.03,1.03,1.03,1.03,29000
2018-11-20,1.01,1.03,1.01,1.03,19900
2018-11-22,1.03,1.03,1.03,1.03,660
2018-11-26,1.03,1.03,1.03,1.03,48540
2018-11-28,1.01,1.01,1.01,1.01,25000
2018-12-05,1.01,1.02,1.01,1.02,48000
2018-12-12,1.01,1.01,1.01,1.01,80
