date,open,high,low,close,volume
1999-02-16,1.0,1.0,1.0,1.0,1680000
1999-05-27,1.0,1.0,1.0,1.0,10000
1999-07-07,1.0,1.0,1.0,1.0,10000
1999-07-29,1.0,1.0,1.0,1.0,60000
2004-07-29,1.0,1.0,1.0,1.0,30000
2004-11-22,1.2,1.2,1.2,1.2,10000
2007-05-24,1.0,1.0,1.0,1.0,527000
2008-09-11,1.0,1.0,1.0,1.0,550000
2010-01-26,1.0,1.0,1.0,1.0,570000
2011-09-26,1.05,1.5,1.05,1.5,43000
2011-09-28,1.11,1.11,1.11,1.11,1000
2011-11-29,1.24,1.27,1.24,1.27,12010000
2011-12-01,1.52,1.9,1.52,1.9,7000
2011-12-02,2.85,2.85,2.85,2.85,25000
2011-12-05,4.27,4.27,4.27,4.27,8000
2011-12-06,5.9,5.9,3.03,3.48,39000
2011-12-07,3.48,3.5,3.48,3.5,4000
2011-12-15,2.8,2.8,2.8,2.8,2000
2011-12-21,3.04,3.04,3.04,3.04,8000
2012-02-16,2.75,2.75,2.75,2.75,1000
2012-03-07,2.52,2.52,2.5,2.5,8000
2012-03-28,2.5,2.5,2.5,2.5,3000
2012-04-17,2.72,2.72,2.72,2.72,1000
2012-06-05,3.1,3.1,3.1,3.1,1000
2012-07-17,3.3,3.3,3.3,3.3,1000
2012-08-08,3.3,3.3,3.3,3.3,3000
2012-10-03,3.3,3.3,3.3,3.3,3000
2014-11-25,3.35,3.35,3.35,3.35,20000
2015-04-10,5.0,5.0,3.1,3.1,10000
2015-04-14,3.12,3.12,3.12,3.12,1000
2015-04-24,4.6,4.6,4.0,4.0,2000
2015-04-28,4.5,6.0,4.5,6.0,40000
2015-04-29,7.2,9.0,7.2,9.0,28900
2015-04-30,13.5,13.5,13.48,13.5,9600
2015-05-04,20.25,20.25,20.25,20.25,8400
2015-05-05,30.35,30.35,30.35,30.35,5700
2015-05-06,45.5,45.5,45.5,45.5,23000
2015-05-07,68.25,68.25,68.0,68.25,16600
2015-05-08,95.5,95.5,35.0,46.85,49530
2015-05-11,46.8,46.8,25.0,25.0,29500
2015-05-12,25.0,37.5,25.0,37.5,33500
2015-05-13,45.0,55.0,45.0,55.0,50600
2015-05-14,58.0,80.0,58.0,80.0,66580
2015-05-15,82.0,82.0,62.25,64.0,26390
2015-05-18,63.95,74.5,45.0,64.0,14000
2015-05-19,64.0,65.0,55.0,58.0,7170
2015-05-20,63.9,63.9,54.9,60.75,6010
2015-05-21,56.0,61.8,56.0,58.4,4370
2015-05-22,58.4,60.0,54.0,56.0,6450
2015-05-25,56.0,62.9,56.0,57.15,7020
2015-05-26,56.0,59.0,54.1,54.2,3220
2015-05-27,54.1,54.1,50.0,51.95,2590
2015-05-28,51.95,51.95,47.0,51.9,240
2015-05-29,45.0,51.7,45.0,51.0,2380
2015-06-01,50.0,51.9,46.0,46.0,2250
2015-06-02,46.0,59.95,45.0,55.0,6300
2015-06-03,57.0,57.0,50.0,50.0,2880
2015-06-04,55.95,56.0,50.0,50.0,6800
2015-06-05,54.0,54.0,46.0,48.0,1870
2015-06-08,53.3,53.3,51.5,51.5,200
2015-06-09,52.9,53.0,47.75,52.0,1630
2015-06-10,52.0,52.95,45.0,50.0,2550
2015-06-11,50.0,50.0,50.0,50.0,160
2015-06-15,49.35,51.0,46.0,48.0,1140
2015-06-16,48.0,50.0,46.5,50.0,1100
2015-06-17,50.0,52.0,47.0,50.5,3240
2015-06-18,48.0,51.0,47.0,50.0,2100
2015-06-19,47.6,50.5,46.0,49.8,4180
2015-06-22,46.5,49.75,46.0,49.75,2000
2015-06-24,46.0,49.0,46.0,49.0,1100
2015-06-25,45.0,48.95,45.0,48.9,1400
2015-06-30,48.45,48.45,40.0,48.0,2000
2015-07-01,47.9,47.9,46.0,47.5,700
2015-07-02,47.0,47.0,47.0,47.0,100
2015-07-06,47.0,47.0,42.0,46.0,400
2015-07-07,40.0,45.0,37.0,45.0,1000
2015-07-08,39.0,44.0,37.0,40.0,1000
2015-07-09,39.0,39.0,39.0,39.0,300
2015-07-10,39.0,39.0,35.0,35.0,1400
2015-07-13,34.5,40.0,34.5,40.0,500
2015-07-14,40.0,48.0,40.0,47.5,3900
2015-07-15,47.5,47.5,47.5,47.5,100
2015-07-16,41.0,46.85,37.1,41.0,3700
2015-07-20,39.2,44.8,37.5,43.4,2400
2015-07-21,43.5,44.0,39.0,44.0,2100
2015-07-27,44.0,44.0,44.0,44.0,1000
2015-07-28,39.0,43.0,39.0,43.0,2200
2015-07-30,42.95,42.95,42.95,42.95,800
2015-08-03,36.0,40.0,36.0,40.0,1500
2015-08-04,42.95,42.95,41.5,41.5,2000
2015-08-05,38.0,40.0,36.0,40.0,900
2015-08-10,39.95,39.95,39.95,39.95,100
2015-08-13,39.0,39.5,39.0,39.5,400
2015-08-14,39.0,39.5,39.0,39.5,500
2015-08-24,35.0,35.0,35.0,35.0,100
2015-08-27,35.0,35.0,35.0,35.0,400
2015-08-28,35.0,35.0,35.0,35.0,1000
2015-09-01,35.0,37.0,35.0,37.0,300
2015-09-02,36.5,36.5,36.5,36.5,100
2015-09-07,36.5,36.5,36.5,36.5,100
2015-09-15,35.0,35.0,35.0,35.0,200
2015-09-16,38.0,38.0,38.0,38.0,100
2015-09-21,38.0,38.0,38.0,38.0,600
2015-09-29,37.0,37.0,37.0,37.0,500
2015-10-13,19.0,25.5,19.0,25.5,800
2015-10-14,25.5,30.8,25.5,30.8,900
2015-10-15,35.0,35.0,35.0,35.0,700
2015-10-16,29.0,34.0,29.0,34.0,500
2015-10-20,33.0,33.0,32.8,32.8,200
2015-10-23,29.0,33.0,29.0,31.5,4400
2015-10-26,32.5,32.5,32.0,32.0,300
2015-10-28,32.0,32.0,32.0,32.0,100
2015-11-05,26.0,30.0,26.0,30.0,4700
2015-11-09,30.0,30.0,29.95,29.95,900
2015-11-11,29.9,29.9,29.9,29.9,100
2015-11-12,23.2,29.5,23.2,29.5,400
2015-11-13,29.0,30.0,29.0,30.0,2200
2015-11-17,23.0,24.0,23.0,24.0,600
