date,open,high,low,close,volume
2017-05-29,16.0,16.12,15.2,15.3,61648200
2017-05-30,15.32,15.68,15.32,15.56,17042400
2017-05-31,15.62,15.74,15.46,15.62,12034200
2017-06-01,15.7,16.04,15.68,15.98,19361200
2017-06-02,15.9,16.02,15.7,15.78,8458800
2017-06-05,15.8,16.18,15.78,15.94,11312700
2017-06-06,16.0,16.04,15.96,15.96,7813900
2017-06-07,16.0,16.0,15.78,15.98,8257300
2017-06-08,15.96,16.0,15.86,15.9,4313300
2017-06-09,15.96,15.96,15.8,15.8,1503500
2017-06-13,15.8,15.86,15.58,15.58,5172900
2017-06-14,15.6,15.66,15.58,15.6,1367400
2017-06-15,15.68,15.8,15.6,15.66,3639300
2017-06-16,15.68,15.7,15.52,15.58,2898100
2017-06-19,15.6,15.6,15.4,15.56,3215200
2017-06-20,15.58,16.24,15.56,16.24,13613500
2017-06-21,16.22,16.56,16.1,16.1,13327100
2017-06-22,16.12,16.4,16.04,16.1,4407700
2017-06-23,16.1,16.28,16.04,16.08,1590400
2017-06-27,16.12,16.2,16.08,16.2,2270100
2017-06-28,16.12,16.36,16.12,16.3,7388200
2017-06-29,16.36,16.6,16.0,16.0,14276100
2017-06-30,16.02,16.04,15.76,15.8,7368800
2017-07-03,15.8,15.94,15.8,15.8,1793200
2017-07-04,15.9,16.0,15.86,15.9,3286300
2017-07-05,15.9,15.9,15.76,15.78,2115800
2017-07-06,15.8,15.92,15.78,15.84,1839600
2017-07-07,15.96,15.96,15.84,15.86,825300
2017-07-10,15.92,15.92,15.78,15.8,1395000
2017-07-11,15.8,15.8,15.58,15.6,4661900
2017-07-12,15.6,15.64,15.5,15.6,2697300
2017-07-13,15.6,15.6,15.52,15.52,2980000
2017-07-14,15.6,15.6,15.52,15.54,2212600
2017-07-17,15.56,15.56,15.5,15.52,2670500
2017-07-18,15.5,15.5,15.34,15.4,3641800
2017-07-19,15.42,15.6,15.4,15.42,2552900
2017-07-20,15.48,15.7,15.44,15.58,3709300
2017-07-21,15.68,15.7,15.58,15.64,1130300
2017-07-24,15.66,15.66,15.54,15.6,1611200
2017-07-25,15.6,15.66,15.4,15.4,1912000
2017-07-26,15.4,15.54,15.34,15.42,5761800
2017-07-27,15.42,15.44,14.76,14.98,10604300
2017-07-28,14.98,14.98,14.86,14.92,4877000
2017-07-31,14.92,14.98,14.86,14.94,2124800
2017-08-01,14.96,14.96,14.84,14.88,1352600
2017-08-02,14.88,14.9,14.86,14.9,1393700
2017-08-03,14.94,14.96,14.9,14.94,1235500
2017-08-04,14.94,15.22,14.94,15.2,2213600
2017-08-07,15.22,15.24,14.96,15.2,865100
2017-08-08,15.18,15.18,14.96,15.0,1993300
2017-08-09,15.0,15.1,14.78,15.02,2218700
2017-08-10,15.06,15.08,14.98,15.0,416800
2017-08-11,15.0,15.0,14.88,15.0,910100
2017-08-14,15.0,15.0,14.9,14.98,211900
2017-08-15,14.98,15.0,14.94,15.0,1404100
2017-08-16,15.02,15.2,14.98,15.14,1213700
2017-08-17,15.14,15.14,15.1,15.14,457000
2017-08-18,15.12,15.12,14.98,15.1,1506100
2017-08-22,15.1,15.1,15.0,15.1,386900
2017-08-23,15.1,15.1,14.98,15.1,1671000
2017-08-24,15.1,15.24,15.1,15.1,1299300
2017-08-25,15.1,15.66,15.1,15.6,7502100
2017-08-29,15.6,15.6,15.38,15.38,2462300
2017-08-30,15.4,15.4,15.02,15.1,2093300
2017-08-31,15.12,15.18,15.0,15.18,481900
2017-09-04,15.18,15.2,15.1,15.12,612200
2017-09-05,15.18,15.2,14.98,15.06,1413900
2017-09-06,15.06,15.06,14.94,15.0,906600
2017-09-07,15.0,15.06,14.94,15.06,983800
2017-09-08,15.06,15.08,14.96,15.04,422600
2017-09-11,15.04,15.1,14.98,15.1,386100
2017-09-13,15.2,15.34,15.14,15.32,1985100
2017-09-14,15.4,15.4,15.1,15.36,1738100
2017-09-15,15.36,15.42,15.28,15.36,2019900
2017-09-18,15.36,15.68,15.28,15.4,3416900
2017-09-19,15.5,15.58,15.3,15.36,1409200
2017-09-20,15.44,15.44,15.28,15.32,1210500
2017-09-21,15.3,15.3,15.0,15.18,1449400
2017-09-22,15.24,15.24,15.02,15.16,830600
2017-09-25,15.16,15.16,15.02,15.1,1674800
2017-09-26,15.08,15.08,14.98,15.04,572800
2017-09-27,15.18,15.18,15.0,15.0,2356600
2017-09-28,15.0,15.12,15.0,15.02,182900
2017-09-29,15.04,15.14,15.0,15.12,178000
2017-10-02,15.14,15.18,15.1,15.18,57300
2017-10-03,15.18,15.18,15.08,15.1,194800
2017-10-04,15.1,15.12,15.02,15.02,129000
2017-10-05,15.02,15.1,15.02,15.1,368900
2017-10-06,15.1,15.1,15.0,15.02,1572500
2017-10-09,15.04,15.1,14.94,15.0,2190100
2017-10-10,15.04,15.04,14.94,15.0,521900
2017-10-11,14.94,15.02,14.92,15.0,1778700
2017-10-12,15.0,15.0,14.9,14.96,1738800
2017-10-13,14.96,14.96,14.82,14.84,1560100
2017-10-17,14.82,14.84,14.8,14.82,1189900
2017-10-18,14.8,14.82,14.72,14.78,859500
2017-10-19,14.78,14.8,14.7,14.8,801400
2017-10-20,14.9,14.9,14.8,14.88,295200
2017-10-23,14.8,15.0,14.8,15.0,257500
2017-10-24,15.0,15.0,14.8,14.9,226400
2017-10-25,14.84,14.9,14.74,14.8,447700
2017-10-26,14.76,14.8,14.72,14.76,487100
2017-10-27,14.96,14.96,14.1,14.66,4920200
2017-10-30,14.66,14.84,14.5,14.6,2593500
2017-11-02,14.6,14.94,14.54,14.88,402500
2017-11-03,14.88,14.96,14.8,14.96,2629900
2017-11-06,14.94,15.02,14.88,14.96,6205800
2017-11-07,14.9,15.0,14.88,14.96,413600
2017-11-08,14.9,14.98,14.8,14.92,405100
2017-11-09,14.92,14.92,14.86,14.88,1359000
2017-11-10,14.9,14.98,14.88,14.92,821900
2017-11-13,14.92,14.92,14.88,14.92,482200
2017-11-14,14.94,14.94,14.78,14.9,2735700
2017-11-15,14.7,14.9,14.7,14.88,188500
2017-11-16,14.86,14.86,14.76,14.84,394100
2017-11-17,14.8,14.8,14.6,14.8,170000
2017-11-20,14.8,14.8,14.44,14.8,747900
2017-11-21,14.8,14.8,14.6,14.76,188300
2017-11-22,14.7,14.78,14.5,14.7,524900
2017-11-23,14.78,14.8,14.5,14.76,313800
2017-11-24,14.76,14.88,14.6,14.7,537600
2017-11-27,14.8,14.8,14.72,14.76,140500
2017-11-28,14.76,14.86,14.68,14.8,295500
2017-11-29,14.8,14.8,14.6,14.8,282800
2017-12-01,14.8,14.8,14.58,14.8,380300
2017-12-04,14.58,14.76,14.54,14.76,1165500
2017-12-05,14.76,14.98,14.76,14.9,2615000
2017-12-06,14.94,14.98,14.82,14.84,330600
2017-12-07,14.84,14.88,14.7,14.88,150100
2017-12-08,14.82,14.9,14.7,14.9,107300
2017-12-11,14.9,14.9,14.8,14.84,690100
2017-12-12,14.8,14.82,14.62,14.66,67100
2017-12-13,14.8,14.8,14.66,14.68,557500
2017-12-14,14.64,14.84,14.64,14.78,773900
2017-12-15,14.78,14.8,14.62,14.76,222900
2017-12-18,14.68,14.76,14.6,14.72,202900
2017-12-19,14.76,14.84,14.72,14.8,1554900
2017-12-20,14.8,14.8,14.64,14.64,187300
2017-12-21,14.8,14.8,14.62,14.68,150300
2017-12-22,14.76,14.76,14.4,14.4,5359500
2017-12-27,14.44,14.58,14.44,14.44,97800
2017-12-28,14.5,14.68,14.5,14.68,238100
2017-12-29,14.68,14.78,14.54,14.78,1554800
2018-01-03,14.6,14.7,14.58,14.58,377300
2018-01-04,14.58,14.9,14.56,14.6,4195300
2018-01-05,14.62,14.88,14.62,14.72,557500
