date,open,high,low,close,volume
2008-02-01,3.3,3.3,2.85,2.85,96907000
2008-02-04,2.85,3.0,2.85,2.95,3089000
2008-02-05,2.95,2.95,2.8,2.85,19502000
2008-02-06,2.8,2.8,2.7,2.7,11808000
2008-02-07,2.7,2.75,2.7,2.75,2789000
2008-02-08,2.75,3.05,2.75,2.9,4808000
2008-02-11,2.95,3.0,2.95,2.95,969000
2008-02-12,3.0,3.15,3.0,3.1,5341000
2008-02-13,3.1,3.1,3.1,3.1,2031000
2008-02-14,3.1,3.1,3.05,3.05,1514000
2008-02-15,3.05,3.05,3.0,3.0,1782000
2008-02-18,3.0,3.0,3.0,3.0,1930000
2008-02-19,3.0,3.0,2.85,2.85,15341000
2008-02-20,2.85,2.85,2.65,2.65,3491000
2008-02-21,2.75,2.75,2.55,2.6,30153000
2008-02-22,2.6,2.75,2.6,2.7,2274000
2008-02-26,2.8,2.8,2.7,2.75,18136000
2008-02-27,2.75,2.85,2.75,2.85,4626000
2008-02-28,2.9,3.0,2.9,2.95,4062000
2008-02-29,2.95,2.95,2.9,2.95,15986000
2008-03-03,2.9,2.9,2.85,2.9,5278000
2008-03-04,2.9,2.9,2.85,2.85,15348000
2008-03-05,2.95,2.95,2.85,2.85,5323000
2008-03-06,2.85,2.85,2.85,2.85,1107000
2008-03-07,2.7,2.8,2.7,2.8,5184000
2008-03-10,2.7,2.75,2.7,2.7,47000
2008-03-11,2.7,2.7,2.65,2.7,5105000
2008-03-12,2.8,2.8,2.8,2.8,1000
2008-03-13,2.7,2.7,2.65,2.65,1304000
2008-03-14,2.65,2.65,2.65,2.65,42000
2008-03-17,2.6,2.6,2.48,2.48,1938000
2008-03-18,2.6,2.6,2.5,2.5,2515000
2008-03-19,2.6,2.6,2.55,2.55,9562000
2008-03-24,2.55,2.55,2.55,2.55,12000
2008-03-25,2.55,2.6,2.55,2.6,30050000
2008-03-26,2.6,2.65,2.6,2.6,41322000
2008-03-27,2.6,2.65,2.6,2.65,10254000
2008-03-28,2.6,2.6,2.6,2.6,22477000
2008-03-31,2.6,2.65,2.6,2.65,6971000
2008-04-01,2.8,2.8,2.8,2.8,97000
2008-04-02,2.9,2.95,2.9,2.95,889000
2008-04-03,2.95,3.2,2.95,3.2,6722000
2008-04-04,3.2,3.3,3.15,3.25,2222000
2008-04-08,3.25,3.25,3.15,3.15,2625000
2008-04-09,3.15,3.15,3.0,3.0,1734000
2008-04-10,3.0,3.0,3.0,3.0,6000
2008-04-11,3.0,3.0,3.0,3.0,601000
2008-04-14,3.0,3.0,3.0,3.0,1020000
2008-04-15,3.0,3.0,3.0,3.0,1000000
2008-04-16,3.0,3.0,2.95,2.95,2210000
2008-04-17,2.95,3.0,2.95,2.95,36000
2008-04-21,2.95,3.0,2.95,3.0,500000
2008-04-22,2.9,2.9,2.9,2.9,9000
2008-04-23,2.9,3.0,2.9,3.0,1000000
2008-04-24,3.0,3.0,2.95,2.95,5000
2008-04-28,2.9,3.0,2.9,3.0,500000
2008-04-29,2.95,3.0,2.95,3.0,515000
2008-05-09,3.0,3.0,2.95,3.0,920000
2008-05-12,2.95,2.95,2.9,2.95,124000
2008-05-13,2.95,2.95,2.95,2.95,13000
2008-05-14,3.0,3.0,3.0,3.0,33000
2008-05-15,2.9,2.95,2.9,2.95,139000
2008-05-19,2.85,2.85,2.85,2.85,6000
2008-05-20,2.95,2.95,2.9,2.9,820000
2008-05-21,2.8,2.8,2.8,2.8,4000
2008-05-22,2.8,2.8,2.8,2.8,188000
2008-05-23,2.8,2.8,2.8,2.8,2000
2008-05-26,2.75,2.75,2.7,2.7,33000
2008-05-27,2.7,2.7,2.7,2.7,3000
2008-05-28,2.75,2.75,2.75,2.75,1000
2008-05-30,2.8,2.8,2.8,2.8,21000
2008-06-02,2.8,2.8,2.8,2.8,95000
2008-06-03,2.8,2.8,2.8,2.8,873000
2008-06-04,2.8,2.8,2.8,2.8,23612000
2008-06-05,2.8,2.8,2.8,2.8,2431000
2008-06-10,2.9,2.9,2.8,2.8,21000
2008-06-11,2.7,2.7,2.7,2.7,2000
2008-06-12,2.6,2.6,2.55,2.6,16236000
2008-06-13,2.6,2.65,2.6,2.65,16000
2008-06-16,2.65,2.65,2.6,2.65,694000
2008-06-17,2.6,2.6,2.6,2.6,5000
2008-06-18,2.55,2.55,2.55,2.55,2000
2008-06-19,2.5,2.5,2.5,2.5,55000
2008-06-23,2.5,2.5,2.5,2.5,1000
2008-06-24,2.5,2.5,2.5,2.5,2000
2008-06-27,2.5,2.5,2.5,2.5,10000
2008-07-03,2.46,2.46,2.4,2.4,31000
2008-07-04,2.4,2.4,2.3,2.3,12000
2008-07-07,2.3,2.3,2.3,2.3,160000
2008-07-08,2.3,2.32,2.3,2.3,1256000
2008-07-09,2.3,2.3,2.3,2.3,412000
2008-07-10,2.2,2.2,2.2,2.2,10000
2008-07-11,2.2,2.22,2.2,2.22,32000
2008-07-16,2.22,2.22,2.22,2.22,150000
2008-07-21,2.22,2.22,2.22,2.22,1000
2008-07-22,2.2,2.2,2.2,2.2,10000
2008-07-23,2.2,2.2,2.2,2.2,5000
2008-07-25,2.22,2.22,2.22,2.22,3000
2008-07-29,2.22,2.22,2.22,2.22,1000
2008-07-30,2.22,2.22,2.2,2.22,74000
2008-07-31,2.22,2.28,2.22,2.28,122000
2008-08-01,2.24,2.24,2.24,2.24,24000
2008-08-04,2.22,2.22,2.2,2.2,1050000
2008-08-06,2.22,2.24,2.2,2.2,1168000
2008-08-07,2.2,2.2,2.2,2.2,2037000
2008-08-08,2.18,2.2,2.18,2.2,2122000
2008-08-11,2.2,2.2,2.2,2.2,2460000
2008-08-12,2.2,2.2,2.18,2.2,2033000
2008-08-13,2.18,2.18,2.16,2.18,1070000
2008-08-14,2.18,2.18,2.16,2.18,3418000
2008-08-15,2.16,2.16,2.16,2.16,313000
2008-08-20,2.08,2.16,2.08,2.16,3250000
2008-08-21,2.16,2.16,2.14,2.14,2028000
2008-08-26,2.12,2.12,2.12,2.12,14000
2008-08-27,2.12,2.12,2.12,2.12,1000
2008-08-28,2.14,2.14,2.14,2.14,3015000
2008-09-01,2.14,2.14,2.14,2.14,50000
2008-09-02,2.14,2.14,2.14,2.14,5965000
2008-09-03,2.18,2.18,2.18,2.18,1000
2008-09-09,2.18,2.18,2.18,2.18,1000
2008-09-10,2.18,2.18,2.12,2.12,1048000
2008-09-11,2.12,2.12,2.1,2.1,5055000
2008-09-12,2.1,2.1,2.06,2.06,4576000
2008-09-17,2.08,2.08,2.06,2.06,2108000
2008-09-18,2.02,2.02,2.02,2.02,30000
2008-09-19,2.02,2.02,2.0,2.0,46000
2008-09-22,2.0,2.0,2.0,2.0,45000
2008-09-23,2.0,2.0,2.0,2.0,47000
2008-09-25,2.0,2.0,1.98,1.98,2113000
2008-09-26,1.96,1.96,1.96,1.96,13000
2008-09-30,2.0,2.0,2.0,2.0,1000
2008-10-02,2.0,2.0,1.9,1.9,2822000
2008-10-03,1.88,1.88,1.78,1.78,2075000
2008-10-06,1.78,1.78,1.76,1.76,138000
2008-10-07,1.72,1.72,1.66,1.68,1290000
2008-10-08,1.6,1.66,1.58,1.58,192000
2008-10-09,1.58,1.58,1.5,1.5,6922000
2008-10-10,1.52,1.52,1.38,1.4,174000
2008-10-13,1.4,1.4,1.38,1.4,168000
2008-10-14,1.42,1.42,1.2,1.26,53830000
2008-10-15,1.2,1.2,1.2,1.2,2766000
2008-10-16,1.1,1.1,1.1,1.1,4560000
2008-10-17,1.12,1.12,1.04,1.1,3732000
2008-10-20,1.08,1.08,1.04,1.04,180000
2008-10-21,1.04,1.06,1.04,1.06,5139000
2008-10-22,1.08,1.08,1.04,1.06,22596000
2008-10-23,1.04,1.04,1.0,1.0,5985000
2008-10-27,0.96,0.96,0.91,0.91,1230000
2008-10-28,0.91,0.91,0.89,0.9,6510000
2008-10-29,0.9,0.9,0.83,0.84,17540000
2008-10-30,0.82,0.82,0.8,0.8,5280000
2008-10-31,0.8,0.82,0.8,0.81,4640000
2008-11-03,0.8,0.81,0.8,0.8,5570000
2008-11-04,0.8,0.8,0.79,0.79,5830000
2008-11-05,0.8,0.82,0.8,0.8,9500000
2008-11-06,0.79,0.79,0.76,0.76,10080000
2008-11-07,0.75,0.75,0.73,0.74,3140000
2008-11-10,0.75,0.75,0.75,0.75,650000
2008-11-11,0.75,0.75,0.74,0.74,2970000
2008-11-12,0.73,0.73,0.71,0.71,2940000
2008-11-13,0.71,0.71,0.7,0.7,2520000
2008-11-14,0.7,0.72,0.7,0.7,2660000
2008-11-17,0.7,0.7,0.7,0.7,80000
2008-11-18,0.69,0.7,0.68,0.68,3800000
2008-11-19,0.68,0.68,0.68,0.68,150000
2008-11-21,0.65,0.65,0.65,0.65,2250000
2008-11-24,0.65,0.65,0.65,0.65,80000
2008-11-25,0.68,0.68,0.65,0.65,500000
2008-11-26,0.65,0.65,0.64,0.65,3600000
2008-11-27,0.65,0.65,0.64,0.64,25350000
2008-11-28,0.64,0.65,0.64,0.64,43810000
2008-12-02,0.64,0.64,0.64,0.64,150000
2008-12-03,0.66,0.66,0.65,0.66,470000
2008-12-04,0.68,0.68,0.66,0.66,130000
2008-12-05,0.66,0.66,0.66,0.66,160000
2008-12-09,0.7,0.8,0.66,0.79,16490000
2008-12-10,0.75,0.8,0.75,0.8,550000
2008-12-11,0.81,0.85,0.81,0.84,1120000
2008-12-12,0.84,0.84,0.81,0.83,1370000
2008-12-15,0.84,0.89,0.84,0.89,460000
2008-12-16,0.89,0.93,0.89,0.93,640000
2008-12-17,0.93,1.04,0.93,1.04,4800000
2008-12-18,1.04,1.04,0.97,0.98,2100000
2008-12-19,0.95,0.95,0.93,0.93,220000
2008-12-22,0.92,0.92,0.92,0.92,50000000
2008-12-23,0.91,0.91,0.89,0.9,2630000
2008-12-24,0.87,0.87,0.85,0.85,320000
2009-01-05,0.87,0.87,0.87,0.87,180000
2009-01-06,0.87,0.91,0.87,0.9,1140000
2009-01-07,0.91,0.93,0.91,0.93,650000
2009-01-08,0.92,0.92,0.89,0.9,3150000
2009-01-09,0.9,0.9,0.88,0.89,430000
2009-01-14,0.89,0.89,0.87,0.87,280000
2009-01-15,0.89,0.89,0.84,0.85,890000
2009-01-16,0.85,0.85,0.85,0.85,530000
2009-01-19,0.85,0.85,0.84,0.84,170000
2009-01-20,0.85,0.85,0.84,0.85,500000
2009-01-22,0.86,0.86,0.86,0.86,190000
2009-01-23,0.85,0.85,0.85,0.85,270000
2009-01-26,0.86,0.86,0.86,0.86,30000
2009-01-27,0.88,0.92,0.88,0.9,470000
2009-01-28,0.9,0.91,0.89,0.91,5010000
2009-01-29,0.91,0.99,0.91,0.93,1190000
2009-01-30,0.93,0.93,0.91,0.91,2640000
2009-02-02,0.9,0.91,0.9,0.91,140000
2009-02-03,0.92,0.92,0.88,0.88,1100000
2009-02-04,0.91,0.91,0.91,0.91,410000
2009-02-05,0.9,0.93,0.9,0.9,10140000
2009-02-06,0.9,0.9,0.9,0.9,7460000
2009-02-09,0.9,0.9,0.89,0.89,460000
2009-02-10,0.89,0.89,0.88,0.88,750000
2009-02-11,0.88,0.88,0.88,0.88,10000
2009-02-12,0.88,0.89,0.88,0.89,510000
2009-02-13,0.9,0.94,0.9,0.92,66350000
2009-02-16,0.93,0.93,0.9,0.91,1230000
2009-02-17,0.9,0.92,0.9,0.91,3710000
2009-02-18,0.9,0.9,0.9,0.9,740000
2009-02-19,0.91,0.91,0.89,0.89,390000
2009-02-20,0.89,0.89,0.89,0.89,160000
2009-02-23,0.84,0.89,0.84,0.89,240000
2009-02-26,0.84,0.89,0.84,0.86,260000
2009-02-27,0.86,0.86,0.86,0.86,1140000
2009-03-02,0.86,0.89,0.86,0.88,210000
2009-03-03,0.88,0.88,0.87,0.87,350000
2009-03-04,0.88,0.88,0.88,0.88,230000
2009-03-05,0.9,0.9,0.89,0.9,620000
2009-03-06,0.9,0.9,0.89,0.9,2420000
2009-03-09,0.9,0.9,0.9,0.9,50000
2009-03-10,0.9,0.9,0.9,0.9,2780000
2009-03-11,0.9,0.9,0.9,0.9,760000
2009-03-12,0.88,0.89,0.88,0.89,60000
2009-03-13,0.89,0.89,0.89,0.89,400000
2009-03-16,0.89,0.9,0.89,0.9,310000
2009-03-17,0.89,0.89,0.88,0.89,1630000
2009-03-18,0.9,0.91,0.9,0.91,8340000
2009-03-19,0.89,0.9,0.89,0.89,10890000
2009-03-20,0.9,0.9,0.89,0.89,5100000
2009-03-23,0.9,0.9,0.9,0.9,220000
2009-03-24,0.91,0.91,0.9,0.9,1510000
2009-03-25,0.89,0.9,0.89,0.9,17930000
2009-03-26,0.93,0.93,0.91,0.92,860000
2009-03-27,0.92,0.95,0.92,0.95,750000
2009-03-30,0.95,0.95,0.94,0.94,190000
2009-03-31,0.92,0.92,0.92,0.92,150000
2009-04-01,0.92,0.92,0.92,0.92,90000
2009-04-02,0.91,0.92,0.9,0.92,10300000
2009-04-03,0.93,0.93,0.92,0.92,1650000
2009-04-07,0.93,0.93,0.93,0.93,270000
2009-04-08,0.93,0.93,0.9,0.91,21100000
2009-04-13,0.91,0.92,0.9,0.91,7540000
2009-04-14,0.91,0.91,0.91,0.91,830000
2009-04-15,0.91,0.91,0.91,0.91,190000
2009-04-16,0.93,0.93,0.93,0.93,10000
2009-04-17,0.95,0.98,0.95,0.95,190000
2009-04-20,0.95,0.95,0.95,0.95,390000
2009-04-21,0.95,0.97,0.95,0.95,1840000
2009-04-22,0.96,0.96,0.95,0.95,7690000
2009-04-23,0.98,1.16,0.98,1.08,29200000
2009-04-24,1.1,1.1,1.02,1.08,6390000
2009-04-27,1.08,1.08,1.06,1.06,776000
2009-04-28,1.04,1.14,1.02,1.08,6396000
2009-04-29,1.06,1.12,1.06,1.1,9478000
2009-04-30,1.1,1.1,1.08,1.08,8025000
2009-05-04,1.1,1.18,1.1,1.16,20114000
2009-05-05,1.18,1.18,1.1,1.12,16197000
2009-05-06,1.12,1.12,1.12,1.12,3786000
2009-05-07,1.14,1.16,1.14,1.14,15377000
2009-05-08,1.12,1.14,1.12,1.12,6152000
2009-05-11,1.14,1.24,1.12,1.16,12074000
2009-05-12,1.14,1.2,1.14,1.2,31693000
2009-05-13,1.26,1.38,1.26,1.3,82423000
2009-05-14,1.28,1.34,1.28,1.3,15419000
2009-05-15,1.32,1.42,1.32,1.38,41656000
2009-05-18,1.4,1.4,1.3,1.32,18285000
2009-05-19,1.38,1.4,1.34,1.34,7490000
2009-05-20,1.34,1.4,1.34,1.38,25142000
2009-05-21,1.38,1.44,1.38,1.42,31485000
2009-05-22,1.4,1.44,1.38,1.42,17754000
2009-05-25,1.42,1.5,1.4,1.46,25991000
2009-05-26,1.48,1.48,1.38,1.42,16526000
2009-05-27,1.44,1.44,1.42,1.44,5262000
2009-05-28,1.42,1.44,1.36,1.4,14164000
2009-05-29,1.4,1.4,1.34,1.36,11349000
2009-06-01,1.38,1.38,1.36,1.38,12218000
