date,open,high,low,close,volume
2011-11-18,7.9,8.27,7.81,7.95,14073100
2011-11-21,7.95,8.1,7.47,7.7,6263700
2011-11-22,7.41,7.8,7.41,7.6,2516500
2011-11-23,7.59,7.68,7.56,7.68,1568300
2011-11-24,7.6,7.62,7.54,7.6,1106400
2011-11-25,7.6,7.6,7.46,7.59,3852500
2011-11-28,7.59,7.63,7.41,7.6,380300
2011-11-29,7.6,7.62,7.5,7.6,339100
2011-12-01,7.66,7.9,7.66,7.9,2232400
2011-12-02,7.89,8.22,7.81,8.18,4929000
2011-12-05,8.2,8.33,8.11,8.19,1162100
2011-12-06,8.2,8.2,8.0,8.1,624800
2011-12-07,8.1,8.2,7.95,8.13,601600
2011-12-08,8.0,8.08,7.85,8.05,401200
2011-12-09,8.08,8.08,7.85,8.0,2656000
2011-12-12,8.0,8.0,7.85,7.85,137200
2011-12-13,7.82,8.1,7.8,8.05,712400
2011-12-14,8.03,8.05,7.83,8.03,272200
2011-12-15,7.92,8.07,7.92,8.01,526700
2011-12-16,8.0,8.02,7.9,8.01,263400
2011-12-19,7.91,8.0,7.91,8.0,118600
2011-12-20,8.0,8.01,7.93,8.0,199900
2011-12-21,8.0,8.12,7.91,8.1,2081600
2011-12-22,8.11,8.12,7.95,8.1,395900
2011-12-23,8.0,8.07,7.97,8.0,243700
2011-12-26,7.95,8.0,7.92,8.0,76300
2011-12-27,8.08,8.08,7.96,8.07,89300
2011-12-28,8.09,8.09,7.99,8.05,202000
2011-12-29,8.01,8.2,8.01,8.2,1930700
2012-01-02,7.95,8.18,7.95,8.15,64400
2012-01-03,8.02,8.09,8.0,8.01,286000
2012-01-04,8.0,8.08,7.95,7.99,315500
2012-01-05,7.96,7.96,7.9,7.94,252300
2012-01-06,7.9,7.94,7.86,7.94,132800
2012-01-09,7.86,7.98,7.86,7.9,84900
2012-01-10,7.9,7.9,7.86,7.9,70900
2012-01-11,8.0,8.0,7.85,7.88,213300
2012-01-12,7.86,7.9,7.86,7.9,119900
2012-01-13,7.84,7.99,7.84,7.9,70900
2012-01-16,7.98,7.98,7.82,7.9,110300
2012-01-17,7.98,7.98,7.8,7.84,123300
2012-01-18,7.95,7.95,7.95,7.95,100
