date,open,high,low,close,volume
2000-02-03,0.8,0.8,0.8,0.8,20000
2000-02-04,1.0,1.0,1.0,1.0,20000
2000-03-24,450.0,470.0,450.0,470.0,3240
2000-03-27,450.0,452.5,400.0,402.5,2670
2000-03-28,380.0,380.0,350.0,360.0,1820
2000-03-29,345.0,350.0,345.0,345.0,3910
2000-03-30,355.0,367.5,355.0,360.0,4450
2000-03-31,400.0,415.0,395.0,405.0,13140
2000-04-03,420.0,440.0,420.0,440.0,20090
2000-04-04,440.0,440.0,422.5,430.0,13840
2000-04-05,430.0,430.0,405.0,405.0,7120
2000-04-06,410.0,425.0,410.0,415.0,11280
2000-04-07,420.0,427.5,420.0,425.0,14700
2000-04-10,415.0,417.5,415.0,415.0,4380
2000-04-11,415.0,425.0,412.5,420.0,25080
2000-04-12,415.0,415.0,412.5,415.0,14060
2000-04-13,430.0,457.5,430.0,452.5,69470
2000-04-14,450.0,467.5,450.0,465.0,29070
2000-04-17,430.0,437.5,420.0,427.5,6330
2000-04-18,427.5,437.5,427.5,435.0,9690
2000-04-19,460.0,462.5,457.5,462.5,34210
2000-04-24,462.5,467.5,462.5,462.5,12300
2000-04-25,455.0,455.0,447.5,447.5,14930
2000-04-26,470.0,485.0,470.0,482.5,73260
2000-04-27,477.5,477.5,470.0,472.5,11560
2000-04-28,480.0,482.5,480.0,482.5,29640
2000-05-02,482.5,482.5,472.5,472.5,438740
2000-05-03,480.0,487.5,480.0,485.0,76900
2000-05-04,475.0,477.5,472.5,477.5,36370
2000-05-05,477.5,477.5,470.0,470.0,28810
2000-05-08,467.5,467.5,462.5,462.5,22890
2000-05-09,455.0,460.0,455.0,460.0,23710
2000-05-10,465.0,470.0,465.0,467.5,39130
2000-05-11,467.5,467.5,467.5,467.5,39140
2000-05-12,480.0,495.0,480.0,492.5,95810
2000-05-15,540.0,540.0,525.0,535.0,97220
2000-05-16,565.0,570.0,560.0,565.0,46660
2000-05-17,560.0,565.0,560.0,560.0,44440
2000-05-18,560.0,560.0,550.0,555.0,26440
2000-05-19,600.0,600.0,590.0,595.0,66200
2000-05-22,595.0,595.0,590.0,590.0,45470
2000-05-23,590.0,590.0,585.0,590.0,52350
2000-05-24,1150.0,1150.0,1105.0,1110.0,1410
2000-05-25,630.0,640.0,630.0,635.0,56060
2000-05-26,645.0,645.0,640.0,640.0,33630
2000-05-29,1080.0,1090.0,1080.0,1090.0,6370
2000-05-30,610.0,625.0,610.0,625.0,38660
2000-05-31,1075.0,1075.0,1050.0,1050.0,2690
2000-06-01,640.0,655.0,640.0,650.0,88900
2000-06-02,655.0,655.0,645.0,645.0,41040
2000-06-05,640.0,645.0,635.0,640.0,37010
2000-06-06,645.0,650.0,640.0,640.0,43410
2000-06-07,630.0,635.0,625.0,625.0,33670
2000-06-08,605.0,615.0,600.0,610.0,29610
2000-06-09,620.0,635.0,620.0,635.0,38870
2000-06-13,625.0,630.0,620.0,630.0,25090
2000-06-14,645.0,650.0,640.0,640.0,45790
2000-06-15,655.0,660.0,655.0,655.0,56100
2000-06-16,655.0,655.0,640.0,640.0,27150
2000-06-19,640.0,645.0,640.0,640.0,28960
2000-06-20,660.0,670.0,660.0,665.0,60360
2000-06-21,675.0,675.0,670.0,670.0,47340
2000-06-22,690.0,700.0,690.0,695.0,49340
2000-06-23,680.0,680.0,675.0,680.0,16250
2000-06-26,680.0,680.0,675.0,675.0,36220
2000-06-27,685.0,690.0,680.0,685.0,40090
2000-06-28,695.0,700.0,690.0,695.0,35710
2000-06-29,695.0,695.0,690.0,690.0,36940
2000-06-30,710.0,720.0,710.0,715.0,59060
2000-07-03,720.0,725.0,720.0,720.0,26460
2000-07-04,720.0,735.0,720.0,730.0,30060
2000-07-05,730.0,730.0,725.0,725.0,21120
2000-07-06,730.0,735.0,730.0,735.0,22560
2000-07-07,750.0,760.0,745.0,760.0,47140
2000-07-10,775.0,780.0,775.0,775.0,22680
2000-07-11,770.0,780.0,770.0,780.0,36290
2000-07-12,775.0,775.0,760.0,760.0,22480
2000-07-13,750.0,755.0,750.0,750.0,29900
2000-07-14,740.0,750.0,740.0,750.0,36160
2000-07-19,725.0,735.0,725.0,730.0,59480
2000-07-20,740.0,740.0,740.0,740.0,49390
2000-07-21,760.0,765.0,760.0,765.0,50180
2000-07-24,765.0,775.0,765.0,770.0,34180
2000-07-25,780.0,780.0,775.0,775.0,27500
2000-07-26,780.0,790.0,780.0,785.0,49370
2000-07-27,830.0,830.0,820.0,820.0,67390
