date,open,high,low,close,volume
2017-06-02,5.2,5.39,5.13,5.16,82639500
2017-06-05,5.23,5.27,5.17,5.22,14277700
2017-06-06,5.22,5.45,5.2,5.45,34398900
2017-06-07,5.45,5.67,5.45,5.67,35915800
2017-06-08,5.7,5.74,5.52,5.62,22296600
2017-06-09,5.6,5.62,5.41,5.42,12483300
2017-06-13,5.43,5.5,5.31,5.33,6188600
2017-06-14,5.34,5.44,5.31,5.41,3472800
2017-06-15,5.42,5.56,5.41,5.46,8792000
2017-06-16,5.47,5.49,5.33,5.37,4637300
2017-06-19,5.37,5.44,5.37,5.39,4905700
2017-06-20,5.41,5.62,5.39,5.59,16616700
2017-06-21,5.62,5.92,5.54,5.9,34320500
2017-06-22,5.95,5.98,5.64,5.65,20699100
2017-06-23,5.69,5.78,5.65,5.65,11729200
2017-06-27,5.7,5.83,5.58,5.6,7101700
2017-06-28,5.63,5.7,5.54,5.54,8432000
2017-06-29,5.56,5.64,5.31,5.36,18543900
2017-06-30,5.36,5.44,5.27,5.34,7458400
2017-07-03,5.39,5.55,5.32,5.4,6440200
2017-07-04,5.47,5.48,5.41,5.41,2656200
2017-07-05,5.44,5.47,5.35,5.41,5349300
2017-07-06,5.4,5.58,5.4,5.41,3577300
2017-07-07,5.41,5.45,5.34,5.36,3622000
2017-07-10,5.37,5.4,5.33,5.38,2603900
2017-07-11,5.4,5.45,5.33,5.36,2642800
2017-07-12,5.34,5.36,5.22,5.3,12850700
2017-07-13,5.3,5.3,5.2,5.23,6520900
2017-07-14,5.25,5.38,5.23,5.31,4688300
2017-07-17,5.35,5.51,5.33,5.33,12004600
2017-07-18,5.34,5.45,5.3,5.33,3989900
2017-07-19,5.33,5.4,5.29,5.32,3498000
2017-07-20,5.3,5.35,5.23,5.29,7532500
2017-07-21,5.29,5.3,5.19,5.25,3253900
2017-07-24,5.25,5.25,5.19,5.21,2423800
2017-07-25,5.21,5.23,4.84,4.85,25127600
2017-07-26,4.87,4.97,4.87,4.89,3273000
2017-07-27,4.92,4.95,4.62,4.75,8998000
2017-07-28,4.76,4.9,4.67,4.69,5522000
2017-07-31,4.7,4.76,4.61,4.61,1867000
2017-08-01,4.65,4.7,4.58,4.64,1307000
2017-08-02,4.67,4.83,4.66,4.75,2035000
2017-08-03,4.75,4.9,4.75,4.9,1321000
2017-08-04,4.9,4.96,4.75,4.76,1103000
2017-08-07,4.79,4.89,4.79,4.82,859000
2017-08-08,4.82,4.84,4.65,4.66,4664000
2017-08-09,4.66,4.86,4.66,4.8,6429000
2017-08-10,4.95,5.05,4.87,4.87,12150000
2017-08-11,4.86,4.99,4.74,4.9,4492000
2017-08-14,4.91,5.15,4.91,5.1,10229000
2017-08-15,5.12,5.23,5.0,5.0,6330700
2017-08-16,5.05,5.1,5.0,5.0,3188700
2017-08-17,5.08,5.09,5.0,5.03,4223100
2017-08-18,5.01,5.07,5.01,5.02,2305700
2017-08-22,5.02,5.2,4.98,5.18,8423300
2017-08-23,5.2,5.27,5.18,5.22,8038200
2017-08-24,5.22,5.23,5.1,5.16,3528900
2017-08-25,5.18,5.2,5.08,5.08,4586200
2017-08-29,5.08,5.08,5.02,5.02,1989600
2017-08-30,5.0,5.1,5.0,5.03,3575200
2017-08-31,5.04,5.04,4.93,5.04,2785000
2017-09-04,5.04,5.05,4.97,5.03,1481900
2017-09-05,4.98,5.03,4.9,4.9,3904500
2017-09-06,4.89,4.97,4.85,4.85,1503000
2017-09-07,4.86,4.93,4.84,4.89,878000
2017-09-08,4.94,5.03,4.9,4.92,1740000
2017-09-11,4.9,5.06,4.89,5.05,2377000
2017-09-13,5.05,5.11,5.0,5.1,2312400
2017-09-14,5.15,5.18,5.09,5.09,3995000
2017-09-15,5.09,5.12,5.0,5.12,3490400
2017-09-18,5.1,5.2,5.08,5.15,1754800
2017-09-19,5.15,5.16,5.04,5.04,1553600
2017-09-20,5.1,5.1,5.04,5.09,717800
2017-09-21,5.09,5.1,5.02,5.05,1813500
2017-09-22,5.05,5.32,5.05,5.23,22238100
2017-09-25,5.3,5.5,5.3,5.4,9949200
2017-09-26,5.41,5.41,5.15,5.29,4238700
2017-09-27,5.29,5.3,5.16,5.25,1889300
2017-09-28,5.22,5.25,5.13,5.16,1177200
2017-09-29,5.2,5.2,5.07,5.07,1702100
2017-10-02,5.14,5.15,5.04,5.08,1240900
2017-10-03,5.08,5.16,5.08,5.1,2042100
2017-10-04,5.14,5.17,5.03,5.04,3785500
2017-10-05,5.09,5.09,5.05,5.07,1420100
2017-10-06,5.1,5.13,5.03,5.03,2290500
2017-10-09,5.05,5.1,5.0,5.03,2414800
2017-10-10,5.03,5.16,5.02,5.04,3159200
2017-10-11,5.06,5.07,5.04,5.05,880000
2017-10-12,5.05,5.12,5.04,5.04,2050200
2017-10-13,5.04,5.1,4.9,4.9,5893100
2017-10-17,4.91,5.12,4.91,4.95,793000
2017-10-18,4.97,5.0,4.88,4.98,758000
2017-10-19,4.91,4.97,4.85,4.91,939000
2017-10-20,4.91,4.91,4.81,4.84,1465000
2017-10-23,4.87,4.9,4.83,4.83,371000
2017-10-24,4.85,4.88,4.8,4.8,1505000
2017-10-25,4.8,4.82,4.78,4.79,1047000
2017-10-26,4.79,4.86,4.79,4.8,830000
2017-10-27,4.86,4.86,4.8,4.85,1375000
2017-10-30,4.86,4.95,4.85,4.91,412000
2017-11-02,4.95,4.95,4.82,4.91,561000
2017-11-03,4.91,4.92,4.85,4.91,492000
2017-11-06,4.91,5.14,4.87,5.05,3535000
2017-11-07,5.09,5.1,5.0,5.03,1381100
2017-11-08,5.08,5.08,4.95,4.97,929300
2017-11-09,5.04,5.04,4.86,4.87,1151000
2017-11-10,4.86,4.86,4.8,4.84,934000
2017-11-13,4.83,5.05,4.81,5.0,2280000
2017-11-14,5.01,5.05,4.86,4.9,603600
2017-11-15,4.9,5.0,4.88,4.9,519000
2017-11-16,4.9,4.9,4.78,4.86,2323000
2017-11-17,4.85,4.88,4.8,4.86,212000
2017-11-20,4.85,4.9,4.72,4.85,1072000
2017-11-21,4.89,4.95,4.79,4.85,515000
2017-11-22,4.78,4.86,4.74,4.77,1124000
2017-11-23,4.79,4.79,4.7,4.75,552000
2017-11-24,4.72,4.75,4.69,4.72,900000
2017-11-27,4.72,4.72,4.65,4.68,1676000
2017-11-28,4.67,4.77,4.59,4.66,2190000
2017-11-29,4.8,4.95,4.8,4.91,3063000
2017-12-01,4.95,5.01,4.75,4.85,2656000
2017-12-04,4.76,4.85,4.69,4.74,1081000
2017-12-05,4.75,4.78,4.74,4.76,694000
2017-12-06,4.76,4.8,4.75,4.79,455000
2017-12-07,4.8,4.8,4.65,4.72,1905000
2017-12-08,4.79,4.8,4.71,4.75,389000
2017-12-11,4.7,4.78,4.7,4.72,557000
2017-12-12,4.71,4.78,4.7,4.75,353000
2017-12-13,4.77,4.77,4.7,4.75,716000
2017-12-14,4.75,4.77,4.72,4.75,499000
2017-12-15,4.72,4.74,4.69,4.71,1267000
2017-12-18,4.72,4.74,4.69,4.7,621000
2017-12-19,4.75,4.75,4.69,4.7,733000
2017-12-20,4.7,4.73,4.6,4.69,2638000
2017-12-21,4.73,4.73,4.64,4.7,531000
2017-12-22,4.7,4.7,4.6,4.69,5413000
2017-12-27,4.69,4.86,4.65,4.86,1400000
2017-12-28,4.86,4.95,4.77,4.94,1368000
2017-12-29,4.92,4.92,4.84,4.88,1638000
2018-01-03,4.85,4.85,4.7,4.8,1200000
2018-01-04,4.77,4.8,4.71,4.79,471000
2018-01-05,4.77,4.78,4.69,4.72,873000
2018-01-08,4.72,4.76,4.72,4.73,729000
2018-01-09,4.73,4.77,4.65,4.71,1721000
2018-01-10,4.7,4.79,4.69,4.77,386000
2018-01-11,4.77,4.85,4.76,4.77,652000
2018-01-12,4.77,4.93,4.77,4.9,2909000
2018-01-15,4.96,5.05,4.9,4.95,1739000
2018-01-16,4.95,4.97,4.85,4.9,486000
2018-01-17,4.97,5.12,4.95,5.05,3887000
2018-01-18,5.1,5.1,4.99,5.04,705700
2018-01-19,5.04,5.09,4.98,5.0,7008600
2018-01-22,5.0,5.0,4.78,4.84,1400800
2018-01-23,4.84,4.89,4.82,4.86,384000
2018-01-24,4.85,4.87,4.8,4.87,468000
2018-01-25,4.87,4.9,4.82,4.82,800000
2018-01-26,4.82,4.85,4.74,4.82,1024000
2018-01-29,4.8,4.8,4.69,4.71,2727000
2018-01-30,4.7,4.71,4.65,4.7,2380000
2018-01-31,4.7,4.7,4.62,4.63,1327000
2018-02-01,4.63,4.7,4.62,4.66,1281000
2018-02-02,4.66,4.75,4.64,4.74,575000
2018-02-05,4.74,4.74,4.6,4.71,872000
2018-02-06,4.67,4.67,4.59,4.62,1686000
2018-02-07,4.62,4.74,4.62,4.64,726000
2018-02-08,4.64,4.69,4.62,4.69,465000
2018-02-09,4.68,4.69,4.56,4.63,2427000
2018-02-12,4.6,4.67,4.4,4.64,2754000
2018-02-13,4.53,4.63,4.5,4.6,670000
2018-02-14,4.6,4.6,4.4,4.54,2695000
2018-02-15,4.54,4.55,4.4,4.49,882000
2018-02-19,4.4,4.48,4.4,4.48,523000
2018-02-20,4.42,4.48,4.4,4.46,1748000
2018-02-21,4.47,4.55,4.4,4.46,1547000
2018-02-22,4.4,4.44,4.33,4.33,1936000
2018-02-23,4.33,4.5,4.21,4.5,2310000
2018-02-26,4.5,4.52,4.33,4.52,793000
2018-02-27,4.5,4.8,4.45,4.59,1325000
2018-02-28,4.8,4.82,4.72,4.74,2358000
2018-03-01,4.75,4.79,4.66,4.67,563000
2018-03-02,4.67,4.74,4.57,4.71,418000
2018-03-05,4.71,4.72,4.57,4.7,750000
2018-03-06,4.62,4.75,4.62,4.7,525000
2018-03-07,4.71,4.81,4.71,4.78,1305000
2018-03-08,4.8,4.88,4.79,4.86,1056000
2018-03-09,4.86,4.95,4.85,4.85,867000
2018-03-12,4.86,4.9,4.85,4.85,1376000
2018-03-13,4.85,4.9,4.8,4.83,488000
2018-03-14,4.84,4.85,4.77,4.8,1603000
2018-03-15,4.77,4.94,4.72,4.92,2144000
2018-03-16,4.91,4.92,4.85,4.91,1178000
2018-03-19,4.9,4.9,4.78,4.8,2230000
2018-03-20,4.75,4.75,4.52,4.58,1362000
2018-03-21,4.59,4.76,4.59,4.7,1155000
2018-03-22,4.74,4.78,4.7,4.7,121000
2018-03-23,4.73,4.73,4.6,4.6,439000
2018-03-26,4.66,4.66,4.57,4.6,65000
2018-03-27,4.66,4.7,4.62,4.62,193000
2018-03-28,4.61,4.7,4.58,4.7,658000
2018-04-02,4.7,4.71,4.62,4.67,143000
2018-04-03,4.67,4.67,4.61,4.66,115000
2018-04-04,4.61,4.73,4.61,4.62,590000
2018-04-05,4.64,4.66,4.62,4.62,423000
2018-04-06,4.64,4.65,4.61,4.61,913000
2018-04-10,4.62,4.71,4.58,4.71,699000
2018-04-11,4.71,4.75,4.62,4.71,1236000
2018-04-12,4.7,4.7,4.6,4.6,1130000
2018-04-13,4.59,4.69,4.5,4.67,1899000
2018-04-16,4.69,4.69,4.5,4.64,2044000
2018-04-17,4.64,4.64,4.51,4.56,1174000
2018-04-18,4.54,4.64,4.54,4.59,128000
2018-04-19,4.6,4.6,4.5,4.58,1571000
2018-04-20,4.58,4.61,4.51,4.51,464000
2018-04-23,4.57,4.65,4.51,4.58,691000
2018-04-24,4.58,4.62,4.5,4.6,1593000
2018-04-25,4.59,4.59,4.5,4.58,770000
2018-04-26,4.58,4.58,4.5,4.51,143000
2018-04-27,4.52,4.55,4.5,4.51,74000
2018-04-30,4.51,4.55,4.48,4.54,267000
2018-05-02,4.54,4.58,4.49,4.58,1528000
2018-05-03,4.58,4.59,4.51,4.59,649000
2018-05-04,4.52,4.57,4.5,4.56,958000
2018-05-07,4.58,4.58,4.57,4.57,76000
2018-05-08,4.57,4.6,4.51,4.6,1083000
2018-05-09,4.53,4.79,4.53,4.73,1671000
2018-05-10,4.71,4.8,4.64,4.8,1327000
2018-05-11,4.72,4.93,4.72,4.93,2879000
2018-05-15,4.93,4.95,4.83,4.89,1356000
2018-05-16,4.89,4.94,4.84,4.93,1043000
2018-05-17,4.92,5.06,4.86,4.94,6398000
2018-05-18,4.95,4.95,4.75,4.92,1651000
2018-05-21,4.89,4.94,4.8,4.82,833000
2018-05-22,4.88,4.9,4.82,4.88,1232000
2018-05-23,4.88,4.88,4.78,4.86,544000
2018-05-24,4.76,4.85,4.75,4.85,562000
2018-05-25,4.81,4.88,4.78,4.88,207000
2018-05-28,4.85,4.89,4.8,4.87,263000
2018-05-29,4.86,4.9,4.78,4.88,701000
2018-05-30,4.88,4.9,4.7,4.7,881000
2018-05-31,4.75,4.78,4.7,4.7,595000
2018-06-01,4.7,4.79,4.7,4.71,2357000
2018-06-04,4.71,4.71,4.68,4.69,378000
2018-06-05,4.68,4.69,4.62,4.65,570000
2018-06-06,4.65,4.75,4.61,4.66,229000
2018-06-07,4.67,4.76,4.67,4.75,254000
2018-06-08,4.76,4.8,4.75,4.79,95000
2018-06-11,4.81,4.9,4.8,4.82,828000
2018-06-13,4.9,4.9,4.8,4.88,474000
2018-06-14,4.82,4.82,4.76,4.76,172000
2018-06-18,4.8,4.8,4.67,4.67,452000
2018-06-19,4.66,4.7,4.59,4.67,515000
2018-06-20,4.67,4.69,4.59,4.69,343000
2018-06-21,4.69,4.69,4.55,4.68,572000
2018-06-22,4.57,4.67,4.57,4.67,346000
2018-06-25,4.56,4.71,4.56,4.7,615000
2018-06-26,4.7,4.7,4.59,4.6,84000
2018-06-27,4.62,4.65,4.59,4.65,310000
2018-06-28,4.65,4.68,4.56,4.56,863000
2018-06-29,4.57,4.59,4.5,4.58,1257000
2018-07-02,4.57,4.59,4.45,4.57,1197000
2018-07-03,4.57,4.57,4.52,4.55,253000
2018-07-04,4.54,4.54,4.49,4.5,150000
2018-07-05,4.55,4.55,4.47,4.52,429000
2018-07-06,4.47,4.54,4.46,4.53,231000
2018-07-09,4.54,4.54,4.46,4.54,227000
2018-07-10,4.54,4.62,4.53,4.62,1300000
2018-07-11,4.6,4.7,4.54,4.61,610000
2018-07-12,4.64,4.67,4.56,4.56,426000
2018-07-13,4.54,4.65,4.54,4.65,341000
2018-07-16,4.65,4.68,4.58,4.65,706000
2018-07-17,4.66,4.66,4.59,4.59,23000
2018-07-18,4.6,4.66,4.53,4.64,499000
2018-07-19,4.6,4.66,4.52,4.66,538000
2018-07-20,4.61,4.61,4.59,4.59,19000
2018-07-23,4.59,4.65,4.58,4.59,75000
2018-07-24,4.58,4.65,4.58,4.61,113000
2018-07-25,4.63,4.63,4.52,4.52,348000
2018-07-26,4.61,4.66,4.51,4.66,1414000
2018-07-27,4.66,4.68,4.61,4.68,906000
2018-07-30,4.68,4.73,4.6,4.67,1922000
2018-07-31,4.67,4.67,4.6,4.67,381000
2018-08-01,4.61,4.67,4.6,4.67,592000
2018-08-02,4.6,4.65,4.58,4.6,252000
2018-08-03,4.6,4.66,4.59,4.66,426000
2018-08-06,4.6,4.63,4.6,4.61,234000
2018-08-07,4.61,4.7,4.59,4.7,1454000
2018-08-08,4.67,4.7,4.62,4.67,1036000
2018-08-09,4.67,4.68,4.61,4.61,495000
2018-08-10,4.63,4.64,4.61,4.62,266000
2018-08-13,4.65,4.65,4.6,4.61,810000
2018-08-14,4.59,4.67,4.59,4.67,1820000
2018-08-15,4.64,4.64,4.6,4.6,187000
2018-08-16,4.61,4.62,4.5,4.57,1632000
2018-08-17,4.6,4.6,4.56,4.59,148000
2018-08-20,4.62,4.63,4.45,4.5,1845000
2018-08-22,4.49,4.49,4.44,4.45,581000
2018-08-23,4.44,4.59,4.42,4.58,1248000
2018-08-24,4.58,4.6,4.46,4.6,666000
2018-08-28,4.59,4.59,4.53,4.53,53000
2018-08-29,4.53,4.54,4.5,4.53,456000
2018-08-30,4.54,4.57,4.5,4.57,327000
2018-08-31,4.57,4.59,4.49,4.59,163000
2018-09-03,4.5,4.63,4.5,4.61,915000
2018-09-04,4.63,4.65,4.5,4.61,605000
2018-09-05,4.51,4.6,4.51,4.59,61000
2018-09-06,4.52,4.55,4.48,4.55,745000
2018-09-07,4.56,4.56,4.49,4.49,289000
2018-09-10,4.49,4.57,4.46,4.54,245000
2018-09-11,4.47,4.53,4.45,4.53,379000
2018-09-12,4.45,4.49,4.33,4.46,1716000
2018-09-13,4.44,4.48,4.35,4.45,1024000
2018-09-14,4.48,4.56,4.4,4.5,789000
2018-09-17,4.48,4.48,4.39,4.39,239000
2018-09-18,4.38,4.38,4.28,4.38,1804000
2018-09-19,4.38,4.47,4.27,4.45,586000
2018-09-20,4.3,4.43,4.3,4.42,225000
2018-09-21,4.42,4.42,4.29,4.31,1407000
2018-09-24,4.39,4.46,4.31,4.46,735000
2018-09-25,4.46,4.48,4.43,4.43,89000
2018-09-26,4.36,4.45,4.3,4.33,166000
2018-09-27,4.33,4.36,4.29,4.36,366000
2018-09-28,4.36,4.42,4.29,4.42,361000
2018-10-01,4.4,4.42,4.32,4.42,117000
2018-10-02,4.34,4.4,4.34,4.34,37000
2018-10-03,4.3,4.41,4.28,4.41,289000
2018-10-04,4.4,4.59,4.35,4.4,313000
2018-10-05,4.43,4.43,4.35,4.35,39000
2018-10-08,4.42,4.42,4.35,4.39,23000
2018-10-09,4.33,4.4,4.31,4.4,189000
2018-10-10,4.33,4.35,4.31,4.31,79000
2018-10-11,4.31,4.43,4.27,4.36,363000
2018-10-12,4.36,4.36,4.28,4.36,201000
2018-10-15,4.36,4.37,4.26,4.37,280000
2018-10-16,4.36,4.36,4.35,4.35,238000
2018-10-17,4.28,4.33,4.28,4.33,20000
2018-10-18,4.36,4.36,4.28,4.29,65000
2018-10-19,4.34,4.39,4.3,4.39,491000
2018-10-22,4.32,4.42,4.32,4.42,179000
2018-10-23,4.36,4.43,4.36,4.43,206000
2018-10-24,4.43,4.44,4.34,4.35,236000
2018-10-25,4.38,4.4,4.3,4.4,334000
2018-10-26,4.4,4.4,4.32,4.39,140000
2018-10-29,4.39,4.39,4.36,4.36,40000
2018-10-30,4.38,4.38,4.3,4.32,119000
2018-10-31,4.34,4.34,4.3,4.3,45000
2018-11-05,4.3,4.4,4.3,4.35,51000
2018-11-06,4.35,4.42,4.29,4.42,269000
2018-11-07,4.41,4.42,4.32,4.32,423000
2018-11-08,4.32,4.39,4.26,4.39,728000
2018-11-09,4.3,4.38,4.25,4.38,1257000
2018-11-12,4.26,4.37,4.24,4.35,129000
2018-11-13,4.26,4.37,4.15,4.3,1462000
2018-11-14,4.27,4.28,4.02,4.16,1572000
2018-11-15,4.15,4.15,3.6,3.7,8565000
2018-11-16,3.79,3.8,3.7,3.8,2083000
2018-11-19,3.8,3.9,3.78,3.87,1996000
2018-11-20,3.87,3.87,3.75,3.84,318000
2018-11-21,3.84,3.9,3.72,3.9,1137000
2018-11-22,3.9,3.93,3.82,3.89,252000
2018-11-23,3.9,4.1,3.82,4.05,1049000
2018-11-26,4.01,4.14,4.0,4.14,927000
2018-11-27,4.08,4.18,4.0,4.1,423000
2018-11-28,4.1,4.14,4.03,4.13,982000
2018-11-29,4.06,4.08,4.03,4.08,198000
2018-12-03,4.03,4.1,4.02,4.07,134000
2018-12-04,4.05,4.12,4.0,4.1,302000
2018-12-05,4.09,4.09,4.02,4.04,52000
2018-12-06,4.05,4.1,4.01,4.09,283000
2018-12-07,4.05,4.05,4.0,4.05,143000
2018-12-10,4.05,4.05,3.94,4.0,349000
2018-12-11,4.03,4.09,3.92,4.02,301000
2018-12-12,4.0,4.01,3.94,4.0,219000
2018-12-13,3.94,4.02,3.93,4.02,282000
2018-12-14,3.99,4.0,3.95,4.0,449000
2018-12-17,4.0,4.0,3.91,3.92,522000
2018-12-18,3.96,4.01,3.89,3.99,416000
2018-12-19,3.92,3.99,3.91,3.99,199000
2018-12-20,3.98,3.99,3.9,3.98,409000
2018-12-21,4.0,4.0,3.93,3.99,82000
2018-12-26,3.99,4.02,3.92,4.0,236000
2018-12-27,4.0,4.08,4.0,4.07,637000
2018-12-28,4.08,4.14,4.04,4.14,1474000
2019-01-02,4.05,4.14,4.05,4.14,1651000
2019-01-03,4.14,4.26,4.14,4.26,534000
2019-01-04,4.16,4.25,4.16,4.25,236000
2019-01-07,4.25,4.3,4.22,4.29,495000
2019-01-08,4.3,4.35,4.18,4.3,319000
2019-01-09,4.27,4.34,4.27,4.34,425000
2019-01-10,4.33,4.34,4.29,4.34,299000
2019-01-11,4.28,4.33,4.25,4.33,16000
2019-01-14,4.27,4.33,4.2,4.26,311000
2019-01-15,4.3,4.3,4.15,4.29,870000
2019-01-16,4.29,4.3,4.2,4.2,258000
2019-01-17,4.22,4.27,4.16,4.27,192000
2019-01-18,4.27,4.27,4.18,4.19,264000
2019-01-21,4.2,4.25,4.19,4.2,118000
2019-01-22,4.2,4.2,4.18,4.18,230000
2019-01-23,4.19,4.25,4.18,4.25,423000
2019-01-24,4.26,4.26,4.2,4.23,139000
2019-01-25,4.23,4.28,4.2,4.26,484000
2019-01-28,4.26,4.26,4.17,4.17,363000
2019-01-29,4.19,4.23,4.18,4.19,41000
2019-01-30,4.25,4.3,4.19,4.19,234000
2019-01-31,4.17,4.3,4.16,4.16,528000
2019-02-01,4.18,4.18,4.15,4.16,279000
2019-02-04,4.2,4.2,4.15,4.18,278000
2019-02-06,4.15,4.15,3.99,4.09,4701000
2019-02-07,4.07,4.1,3.94,4.0,2906000
2019-02-08,4.08,4.1,3.9,4.1,2152000
2019-02-11,4.1,4.2,4.08,4.2,542000
2019-02-12,4.19,4.2,4.1,4.18,432000
2019-02-13,4.1,4.19,4.03,4.05,1434000
2019-02-14,4.14,4.14,3.95,4.0,2084000
2019-02-15,3.96,4.02,3.9,4.02,2042000
2019-02-18,4.0,4.19,4.0,4.18,1204000
2019-02-19,4.1,4.18,4.04,4.18,490000
2019-02-20,4.18,4.3,4.18,4.3,4902000
2019-02-21,4.22,4.29,4.22,4.27,937000
2019-02-22,4.25,4.25,4.15,4.23,341000
2019-02-26,4.12,4.3,4.12,4.29,803000
2019-02-27,4.31,4.34,4.28,4.34,310000
2019-02-28,4.34,4.36,4.26,4.28,266000
2019-03-01,4.28,4.29,4.12,4.19,727000
2019-03-04,4.2,4.2,4.15,4.17,165000
2019-03-05,4.17,4.21,4.12,4.21,167000
2019-03-06,4.17,4.22,4.15,4.17,321000
2019-03-07,4.2,4.25,4.13,4.25,511000
2019-03-08,4.25,4.29,4.2,4.26,289000
2019-03-11,4.3,4.36,4.2,4.3,221000
2019-03-12,4.3,4.3,4.2,4.23,256000
2019-03-13,4.21,4.3,4.21,4.25,293000
2019-03-14,4.28,4.28,4.25,4.26,33000
2019-03-15,4.28,4.35,4.26,4.34,517000
2019-03-18,4.34,4.45,4.34,4.43,874000
2019-03-19,4.43,4.44,4.37,4.4,798000
2019-03-20,4.4,4.4,4.36,4.4,967000
2019-03-21,4.28,4.29,4.2,4.26,294000
2019-03-22,4.27,4.29,4.19,4.2,529000
2019-03-25,4.2,4.2,4.12,4.2,678000
2019-03-26,4.2,4.37,4.17,4.3,2311000
2019-03-27,4.28,4.28,4.22,4.28,158000
2019-03-28,4.23,4.35,4.23,4.3,522000
2019-03-29,4.23,4.29,4.19,4.2,1863000
