date,open,high,low,close,volume
2018-05-09,104.4,104.4,104.4,104.4,10
2018-05-10,104.4,104.4,104.0,104.0,860
2018-05-11,104.0,104.2,104.0,104.2,270
2018-05-15,104.2,104.2,104.2,104.2,940
2018-05-17,104.0,104.0,104.0,104.0,50
2018-05-18,104.0,104.0,104.0,104.0,120
2018-05-21,102.0,103.0,102.0,103.0,210
2018-05-25,103.0,103.0,103.0,103.0,750
2018-05-28,103.0,103.0,103.0,103.0,10
2018-05-29,103.0,103.0,103.0,103.0,50
2018-05-30,103.0,103.0,103.0,103.0,990
2018-05-31,103.0,103.0,103.0,103.0,10
2018-06-01,103.0,103.0,103.0,103.0,20
2018-06-04,103.0,103.0,103.0,103.0,10
2018-06-05,102.5,102.5,102.4,102.5,6830
2018-06-06,103.9,103.9,103.9,103.9,60
2018-06-08,102.3,102.8,102.0,102.8,7720
2018-06-13,102.8,102.8,102.8,102.8,1510
2018-06-18,102.0,102.0,102.0,102.0,290
2018-06-21,102.8,102.8,102.8,102.8,20
2018-06-22,102.8,102.8,101.2,101.2,1400
2018-06-26,102.8,102.8,102.8,102.8,80
2018-06-27,102.8,102.8,102.8,102.8,200
2018-06-28,102.8,102.8,102.8,102.8,1200
2018-07-03,102.8,102.8,102.8,102.8,500
2018-07-04,103.9,103.9,103.9,103.9,10
2018-07-10,103.9,103.9,103.9,103.9,1000
2018-07-11,103.9,103.9,103.8,103.8,270
2018-07-16,103.8,103.8,103.8,103.8,600
2018-07-19,101.8,101.8,101.8,101.8,500
2018-07-20,101.8,101.8,101.8,101.8,1150
2018-07-23,101.8,101.8,101.8,101.8,1980
2018-07-24,101.3,101.3,101.2,101.2,10000
2018-07-25,101.2,101.2,101.1,101.2,3700
2018-07-26,101.0,101.0,101.0,101.0,30
2018-07-30,100.8,101.0,100.8,100.9,3680
2018-08-03,103.7,103.7,103.7,103.7,10
2018-08-08,103.7,103.9,103.7,103.9,3540
2018-08-15,103.9,103.9,103.9,103.9,20
2018-08-16,104.0,104.0,104.0,104.0,10
2018-08-22,101.0,101.0,100.0,100.0,9700
2018-08-23,100.0,100.0,100.0,100.0,3500
2018-08-29,101.0,101.0,100.0,100.0,13720
2018-08-30,99.5,99.5,99.5,99.5,16430
2018-09-04,99.6,99.6,99.5,99.5,63050
2018-09-05,99.6,99.6,99.5,99.6,80070
2018-09-06,100.0,100.0,99.6,100.0,34600
2018-09-07,100.0,100.0,100.0,100.0,20300
2018-09-10,99.65,100.0,99.5,100.0,52180
2018-09-11,99.6,99.6,99.5,99.5,1240
2018-09-12,99.5,100.0,99.5,100.0,27840
2018-09-13,103.5,103.5,103.5,103.5,90
2018-09-14,103.5,103.5,103.5,103.5,500
2018-09-17,102.0,102.0,102.0,102.0,10
2018-09-19,102.0,102.0,102.0,102.0,150
