date,open,high,low,close,volume
2006-07-12,1.5,1.68,1.5,1.68,6655000
2006-07-13,1.7,1.76,1.68,1.74,3571000
2006-07-14,1.74,1.74,1.64,1.66,1747000
2006-07-17,1.64,1.72,1.64,1.7,1533000
2006-07-18,1.7,1.72,1.7,1.7,183000
2006-07-19,1.68,1.76,1.68,1.74,683000
2006-07-20,1.82,1.86,1.78,1.78,1184000
2006-07-21,1.78,1.8,1.76,1.76,457000
2006-07-25,1.76,1.8,1.74,1.8,1075000
2006-07-26,1.8,1.82,1.8,1.82,441000
2006-07-27,1.82,1.82,1.78,1.8,666000
2006-07-28,1.8,1.82,1.78,1.78,561000
2006-07-31,1.8,1.82,1.78,1.8,558000
2006-08-01,1.8,1.82,1.8,1.8,483000
2006-08-02,1.8,1.8,1.8,1.8,90000
2006-08-03,1.8,1.86,1.8,1.86,387000
2006-08-04,1.84,1.84,1.82,1.82,318000
2006-08-07,1.82,1.82,1.82,1.82,146000
2006-08-08,1.82,1.82,1.82,1.82,150000
2006-08-09,1.82,1.82,1.82,1.82,40000
2006-08-10,1.82,1.82,1.8,1.8,560000
2006-08-11,1.8,1.82,1.8,1.82,239000
2006-08-14,1.84,1.84,1.82,1.82,115000
2006-08-15,1.82,1.82,1.82,1.82,177000
2006-08-16,1.82,1.82,1.82,1.82,160000
2006-08-17,1.84,1.86,1.84,1.86,345000
2006-08-18,1.84,1.84,1.84,1.84,439000
2006-08-22,1.84,1.84,1.84,1.84,210000
2006-08-23,1.84,1.86,1.84,1.86,462000
2006-08-24,1.86,1.86,1.86,1.86,198000
2006-08-25,1.88,1.88,1.88,1.88,206000
2006-08-28,1.88,1.88,1.88,1.88,10000
2006-08-29,1.9,2.08,1.9,2.06,11426000
2006-08-30,2.06,2.16,2.06,2.16,1826000
2006-08-31,2.22,2.3,2.22,2.26,1510000
2006-09-01,2.3,2.3,2.22,2.24,960000
2006-09-04,2.3,2.38,2.26,2.38,864000
2006-09-05,2.44,2.7,2.44,2.65,4975000
2006-09-06,2.8,3.1,2.75,2.8,4533000
2006-09-07,2.8,2.8,2.6,2.75,691000
2006-09-08,2.65,2.7,2.6,2.7,587000
2006-09-12,2.7,2.7,2.7,2.7,207000
2006-09-13,2.75,2.8,2.75,2.8,1312000
