date,open,high,low,close,volume
2019-06-27,100.0,100.0,100.0,100.0,25000
2019-06-28,100.1,100.1,100.1,100.1,2750
2019-07-01,100.2,100.2,100.1,100.1,1550
2019-07-02,100.0,100.0,100.0,100.0,500
2019-07-04,100.0,100.0,100.0,100.0,500
2019-07-05,98.0,98.0,98.0,98.0,500
2019-07-16,100.0,100.0,100.0,100.0,500
2019-07-18,100.0,100.0,100.0,100.0,500
2019-07-25,102.0,102.0,102.0,102.0,1000
2019-08-02,105.0,105.0,105.0,105.0,1000
2019-08-05,105.0,105.0,105.0,105.0,1500
2019-09-09,100.7,100.7,100.6,100.6,1120
2019-09-11,100.6,100.6,100.6,100.6,5000
2019-09-12,101.0,101.0,101.0,101.0,5000
2019-09-18,102.0,106.0,101.0,106.0,10500
2019-09-25,105.0,105.0,105.0,105.0,2520
2019-09-26,105.0,105.1,105.0,105.1,2320
2019-09-30,101.1,101.1,101.1,101.1,1000
2019-10-08,106.0,106.0,106.0,106.0,370
2019-10-14,101.2,101.2,101.2,101.2,220
2019-10-21,101.4,101.4,101.4,101.4,500
2019-10-30,101.5,101.6,101.5,101.6,5050
2019-10-31,101.4,101.4,100.0,100.1,18000
2019-11-13,101.1,101.1,101.1,101.1,6000
2019-11-18,103.0,103.0,103.0,103.0,110
2019-11-19,103.0,103.0,103.0,103.0,10
2019-11-21,103.0,103.0,103.0,103.0,9000
2019-11-22,103.0,103.0,103.0,103.0,10
2019-11-28,101.0,101.0,101.0,101.0,1480
2019-12-09,101.1,101.1,101.1,101.1,100
2019-12-12,100.7,100.7,100.7,100.7,40100
2020-01-09,100.8,100.8,100.8,100.8,110
2020-01-15,104.9,105.0,104.9,105.0,14100
2020-02-03,103.0,103.0,103.0,103.0,2500
2020-02-07,103.0,103.0,103.0,103.0,2500
2020-02-13,103.0,103.1,103.0,103.0,6000
2020-02-18,103.0,103.0,103.0,103.0,2000
2020-03-02,107.9,107.9,107.9,107.9,20
2020-03-11,100.1,100.1,100.1,100.1,20
2020-03-13,100.2,100.2,100.2,100.2,500
2020-03-19,100.2,100.2,99.0,99.0,1100
2020-04-14,92.85,92.85,91.6,91.6,500
2020-04-17,99.8,99.8,99.8,99.8,100
2020-04-27,98.0,98.0,98.0,98.0,880
2020-04-28,98.5,98.5,98.0,98.0,500
